region,juvenile_offenders_share_pct,digital_deviation_risk_index,internet_active_users_2023_pct,internet_active_users_2024_pct,internet_active_users_2025_pct,school_students_share_2023_pct,registered_crimes_2025,registered_crimes_per_100k_2025,underage_criminals_per_100k_pop,population_2024,life_quality_2025,healthy_lifestyle_pct,gini_coeff,not_smoking_male_pct,not_smoking_female_pct,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes,school_students_share_2021_pct,school_students_share_2022_pct,population_2019_2024_avg,registered_crimes_2023,registered_crimes_2024,it_diplomas_per_100k_2023,it_diplomas_per_100k_2024,it_diplomas_per_100k_2025,life_quality_2024,life_quality_avg
Орловская область,0.3015666666666666,19.763780155784882,79.6,84.5,86.1,11.2,6613.0,954.9651545301999,12.587498760504426,692486.0,56.521,7.933333333333333,0.3736,61.21915192417396,90.79231722223462,2894.833333333333,897.1666666666666,589.1666666666666,17.0,87.16666666666667,56.204,711406.1666666666,7686.8,10.73446641127567,11.024009081395954,711406.1666666666,7956.0,7471.0,0.42,0.29,0.87,55.887,56.204
Рязанская область,0.2539666666666666,23.89030323605445,94.1,94.5,97.3,11,8104.0,748.8234951687763,9.6713794621173,1082231.0,62.773,11.016666666666666,0.3647999999999999,69.57997720842076,93.3440917206313,4377.833333333333,1263.1666666666667,766.1666666666666,15.833333333333334,104.66666666666669,61.991,1100499.3333333333,8748.4,10.32477040756597,10.734048256884575,1100499.3333333333,8843.0,8490.0,0.74,0.64,0.92,61.209,61.991
Смоленская область,0.5962999999999999,57.02468728780155,84.1,91.3,91.6,11,11452.0,1325.482906571511,23.842951340703042,863987.0,56.519,6.083333333333333,0.3862,58.67085810473551,87.73147697326968,5084.666666666667,1543.5,958.0,17.666666666666668,206.0,55.33,889216.3333333334,13552.2,10.56812590316013,10.857142857142858,889216.3333333334,14917.0,12768.0,0.22,0.46,0.69,54.141,55.33
Тамбовская область,0.4938499999999999,46.94375112208022,86.7,90.8,90.3,10.2,11656.0,1218.8745696921023,18.962130116463726,956292.0,56.325,8.516666666666666,0.3606,57.92175182871464,91.679097109059,6054.0,1980.6666666666667,1113.6666666666667,38.5,181.3333333333333,55.339,981062.6666666666,13247.6,9.72994148077506,10.010815271285608,981062.6666666666,14073.0,13173.0,0.2,0.31,0.31,54.353,55.339
Тверская область,0.4950666666666666,58.19282545088935,86.6,92.7,94.3,11.7,17714.0,1476.4779574360261,20.170919368833598,1199747.0,54.747,7.616666666666666,0.3426,58.8294790377484,86.05853925539128,6258.0,2169.5,1138.6666666666667,47.333333333333336,242.0,53.048,1228159.3333333333,19284.6,11.242681217130402,11.547602929109864,1228159.3333333333,18397.0,18377.0,0.81,0.74,0.83,51.349,53.048
Тульская область,0.3729499999999999,35.03805752781402,90.8,94.2,96,10.2,13757.0,935.1251410470791,13.413633871238174,1471140.0,66.075,8.566666666666666,0.3506,61.0849690674394,90.37893508222008,5658.0,1639.1666666666667,994.5,32.666666666666664,197.3333333333333,65.707,1495724.1666666667,15207.0,9.586134391074644,9.921025730111111,1495724.1666666667,16070.0,14828.0,0.28,0.34,0.61,65.339,65.707
Ярославская область,0.4413833333333333,46.71308747856487,87.4,89.6,92.9,12.1,15921.0,1340.6503092901569,18.862236623390185,1187558.0,60.997,6.116666666666667,0.3657999999999999,69.41986012419899,91.94125012538612,5642.333333333333,1659.3333333333333,951.6666666666666,143.0,224.0,60.182,1210127.5,16775.0,11.47264016344933,11.87455262238966,1210127.5,18034.0,15486.0,1.39,1.09,0.59,59.367,60.182
Москва,0.09125,17.279695586626584,97,98,98.4,9.2,120912.0,919.4966647028856,3.095103401929291,13149803.0,84.459,6.266666666666667,0.4224,65.47801648202443,86.02715129003147,32329.5,5096.166666666667,5319.166666666667,684.8333333333334,407.0,84.272,13030647.0,133515.8,8.641042302513103,8.944584939093176,13030647.0,133985.0,130938.0,11.01,10.16,14.17,84.085,84.27199999999999
Республика Карелия,0.91995,82.48534514772362,88.2,90.3,90.8,13.6,9511.0,1815.5752725939956,44.25516426906121,523856.0,44.597,7.266666666666666,0.361,65.3157970312001,86.15375910891298,4269.666666666667,1745.0,746.0,45.66666666666666,231.8333333333333,44.1125,536323.3333333334,11472.2,13.13716147333895,13.495709863557131,536323.3333333334,11093.0,11237.0,0.33,0.38,0.38,43.628,44.1125
Республика Коми,0.8275000000000001,78.14382396523023,88.3,91,91.6,14,11294.0,1567.283273892952,41.978323920012215,720610.0,48.532,9.783333333333331,0.3863999999999999,57.39313177488822,80.21923828623565,6787.5,3242.333333333333,1306.1666666666667,29.5,302.5,47.397,740849.0,13914.4,13.59052912541793,13.918457220747776,740849.0,15487.0,12968.0,1.12,1.51,0.83,46.262,47.397
